id,name
54,West Virginia
12,Florida
17,Illinois
27,Minnesota
24,Maryland
44,Rhode Island
16,Idaho
33,New Hampshire
37,North Carolina
50,Vermont
9,Connecticut
10,Delaware
35,New Mexico
6,California
34,New Jersey
55,Wisconsin
41,Oregon
31,Nebraska
42,Pennsylvania
53,Washington
22,Louisiana
13,Georgia
1,Alabama
49,Utah
39,Ohio
48,Texas
8,Colorado
45,South Carolina
40,Oklahoma
47,Tennessee
56,Wyoming
38,North Dakota
21,Kentucky
23,Maine
36,New York
32,Nevada
26,Michigan
5,Arkansas
28,Mississippi
29,Missouri
30,Montana
20,Kansas
18,Indiana
46,South Dakota
25,Massachusetts
51,Virginia
11,District of Columbia
19,Iowa
4,Arizona
